,종목코드,기업명
0,095570,AJ네트웍스
1,068400,AJ렌터카
2,006840,AK홀딩스
3,027410,BGF
4,282330,BGF리테일
5,138930,BNK금융지주
6,001460,BYC
7,001040,CJ
8,079160,CJ CGV
9,000120,CJ대한통운
10,011150,CJ씨푸드
11,097950,CJ제일제당
12,037560,CJ헬로
13,000590,CS홀딩스
14,012030,DB
15,016610,DB금융투자
16,005830,DB손해보험
17,000990,DB하이텍
18,139130,DGB금융지주
19,004840,DRB동일
20,155660,DSR
21,069730,DSR제강
22,017940,E1
23,007700,F&F
24,114090,GKL
25,078930,GS
26,006360,GS건설
27,001250,GS글로벌
28,007070,GS리테일
29,012630,HDC
30,039570,HDC아이콘트롤스
31,089470,HDC현대EP
32,294870,HDC현대산업개발
33,082740,HSD엔진
34,175330,JB금융지주
35,234080,JW생명과학
36,001060,JW중외제약
37,096760,JW홀딩스
38,105560,KB금융
39,009440,KC그린홀딩스
40,119650,KC코트렐
41,092220,KEC
42,001390,KG케미칼
43,001940,KISCO홀딩스
44,025000,KPX케미칼
45,092230,KPX홀딩스
46,000040,KR모터스
47,044450,KSS해운
48,030210,KTB투자증권
49,058850,KTcs
50,058860,KTis
51,093050,LF
52,003550,LG
53,034220,LG디스플레이
54,001120,LG상사
55,051900,LG생활건강
56,032640,LG유플러스
57,011070,LG이노텍
58,066570,LG전자
59,108670,LG하우시스
60,051910,LG화학
61,079550,LIG넥스원
62,006260,LS
63,000680,LS네트웍스
64,010120,LS산전
65,229640,LS전선아시아
66,023150,MH에탄올
67,035420,NAVER
68,005940,NH투자증권
69,034310,NICE
70,008260,NI스틸
71,010060,OCI
72,100840,S&TC
73,064960,S&T모티브
74,003570,S&T중공업
75,036530,S&T홀딩스
76,010950,S-Oil
77,034120,SBS
78,101060,SBS미디어홀딩스
79,004060,SG세계물산
80,001380,SG충방
81,002360,SH에너지화학
82,009160,SIMPAC
83,034730,SK
84,011790,SKC
85,018670,SK가스
86,001740,SK네트웍스
87,006120,SK디스커버리
88,210980,SK디앤디
89,096770,SK이노베이션
90,001510,SK증권
91,285130,SK케미칼
92,017670,SK텔레콤
93,000660,SK하이닉스
94,005610,SPC삼립
95,011810,STX
96,077970,STX엔진
97,071970,STX중공업
98,002710,TCC스틸
99,024070,WISCOM
100,037270,YG PLUS
101,000500,가온전선
102,000860,강남제비스코
103,035250,강원랜드
104,011420,갤럭시아에스엠
105,002100,경농
106,009450,경동나비엔
107,267290,경동도시가스
108,012320,경동인베스트
109,000050,경방
110,214390,경보제약
111,012610,경인양행
112,009140,경인전자
113,013580,계룡건설산업
114,012200,계양전기
115,004200,고려개발
116,002140,고려산업
117,010130,고려아연
118,002240,고려제강
119,009290,광동제약
120,017040,광명전기
121,017900,광전자
122,037710,광주신세계
123,030610,교보증권
124,007690,국도화학
125,005320,국동
126,002720,국제약품
127,083420,그린케미칼
128,014530,극동유화
129,014280,금강공업
130,008870,금비
131,001570,금양
132,002990,금호산업
133,011780,금호석유화학
134, 시그니쳐타워) ,789
135,214330,금호에이치티
136,001210,금호전기
137,073240,금호타이어
138,092440,기신정기
139,000270,기아자동차
140,024110,기업은행
141,013700,까뮤이앤씨
142,004540,깨끗한나라
143,074610,나노메딕스
144,001260,남광토건
145,008350,남선알미늄
146,004270,남성
147,003920,남양유업
148,002070,남영비비안
149,025860,남해화학
150,005720,넥센
151,002350,넥센타이어
152,003580,넥스트사이언스
153,251270,넷마블
154,090350,노루페인트
155,000320,노루홀딩스
156,006280,녹십자
157,005250,녹십자홀딩스
158,004370,농심
159,072710,농심홀딩스
160,058730,다스코
161,023590,다우기술
162,019680,대교
163,006370,대구백화점
164,008060,대덕전자
165,000490,대동공업
166,008110,대동전자
167,005750,대림비앤코
168,000210,대림산업
169,004440,대림씨엔에스
170,006570,대림통상
171,001680,대상
172,084690,대상홀딩스
173,128820,대성산업
174,117580,대성에너지
175,016710,대성홀딩스
176,003540,대신증권
177,009190,대양금속
178,014160,대영포장
179,047040,대우건설
180,009320,대우부품
181,042660,대우조선해양
182,003090,대웅
183,069620,대웅제약
184,000430,대원강업
185,006340,대원전선
186,003220,대원제약
187,024890,대원화성
188,002880,대유에이텍
189,000300,대유플러스
190,012800,대창
191,015230,대창단조
192,001070,대한방직
